,Movie,Year,Ratings,Metascores,Userscores,Comparison,Difference
0,Citizen Kane,"September 4, 1941", | Approved,100.0,85.0,True,15.0
410,Sense and Sensibility,"December 13, 1995", | PG,84.0,83.0,True,1.0
411,Weiner,"May 20, 2016", | R,84.0,73.0,True,11.0
412,Stalag 17,"June 6, 1953", | TV-PG,84.0,76.0,True,8.0
413,Iraq in Fragments,"November 10, 2006",None,84.0,67.0,True,17.0
414,The Cove,"July 31, 2009", | PG-13,84.0,82.0,True,2.0
415,Rocco and His Brothers (re-release),"July 5, 2002", | Approved,84.0,76.0,True,8.0
416,Mutual Appreciation,"September 1, 2006", | Unrated,84.0,61.0,True,23.0
418,Stray Dogs,"September 12, 2014", | Not Rated,84.0,63.0,True,21.0
419,13 Assassins,"April 29, 2011", | R,84.0,79.0,True,5.0
420,Dracula: Pages from a Virgin's Diary,"May 14, 2003",None,84.0,58.0,True,26.0
421,Together,"August 24, 2001", | R,84.0,78.0,True,6.0
423,Guy and Madeline on a Park Bench,"November 5, 2010",None,83.0,64.0,True,19.0
424,Crazy Heart,"December 16, 2009", | R,83.0,75.0,True,8.0
425,The Fool,"September 16, 2015", | Not Rated,83.0,81.0,True,2.0
426,Everybody Wants Some!!,"March 30, 2016", | R,83.0,70.0,True,13.0
427,De Palma,"June 10, 2016", | R,83.0,78.0,True,5.0
428,A Little Princess,"May 20, 1995", | G,83.0,75.0,True,8.0
429,The Last Black Man in San Francisco,"June 7, 2019", | Not Rated,83.0,73.0,True,10.0
431,Custody,"June 29, 2018", | Not Rated,83.0,74.0,True,9.0
432,Under the Shadow,"October 7, 2016", | Not Rated,83.0,77.0,True,6.0
433,Adaptation.,"December 6, 2002", | R,83.0,82.0,True,1.0
434,Fighter,"August 24, 2001",None,83.0,85.0,False,-2.0
437,Avatar,"December 18, 2009", | PG-13,83.0,75.0,True,8.0
438,The Forbidden Room,"October 7, 2015", | Not Rated,83.0,80.0,True,3.0
440,Network,"November 14, 1976", | R,83.0,87.0,False,-4.0
441,An American in Paris,"November 11, 1951", | Passed,83.0,55.0,True,28.0
442,The Secret of the Grain,"December 24, 2008", | Unrated,83.0,74.0,True,9.0
443,Trainspotting,"July 19, 1996", | R,83.0,87.0,False,-4.0
444,Welcome to the Dollhouse,"March 22, 1996", | R,83.0,81.0,True,2.0
445,The Graduate,"December 21, 1967", | PG,83.0,74.0,True,9.0
448,Fantastic Mr. Fox,"November 13, 2009", | PG,83.0,83.0,False,0.0
449,In the Loop,"July 24, 2009",None,83.0,79.0,True,4.0
450,Bus 174,"October 8, 2003", | R,83.0,76.0,True,7.0
451,Osama,"February 6, 2004", | PG-13,83.0,63.0,True,20.0
452,Amores Perros,"March 30, 2001", | R,83.0,53.0,True,30.0
453,The Gleaners & I,"March 7, 2001",None,83.0,90.0,False,-7.0
455,The Salt of the Earth,"March 27, 2015", | PG-13,83.0,83.0,False,0.0
456,Glory,"April 12, 2017", | Not Rated,83.0,70.0,True,13.0
457,Rat Film,"September 15, 2017", | Not Rated,83.0,53.0,True,30.0
458,One Flew Over the Cuckoo's Nest,"November 19, 1975", | R,83.0,88.0,False,-5.0
459,Office,"September 18, 2015", | Not Rated,83.0,60.0,True,23.0
460,Being There,"December 19, 1979", | TV-PG,83.0,80.0,True,3.0
461,Chop Shop,"February 27, 2008", | Unrated,83.0,77.0,True,6.0
462,Kiki's Delivery Service,"July 29, 1989", | G,83.0,86.0,False,-3.0
463,Once Upon a Time ... in Hollywood,"July 26, 2019", | R,83.0,75.0,True,8.0
464,Raising Victor Vargas,"March 28, 2003", | R,83.0,63.0,True,20.0
465,Who Framed Roger Rabbit,"June 21, 1988", | PG,83.0,88.0,False,-5.0
467,The Cave,"October 18, 2019", | PG-13,83.0,70.0,True,13.0
468,'71,"February 27, 2015", | R,83.0,75.0,True,8.0
469,The Guilty,"October 19, 2018", | Not Rated,83.0,81.0,True,2.0
470,Blackfish,"July 19, 2013", | PG-13,83.0,82.0,True,1.0
471,The Witch,"February 19, 2016", | R,83.0,73.0,True,10.0
472,Juliet of the Spirits (re-release),"May 18, 2001",None,83.0,74.0,True,9.0
474,Corpse Bride,"September 16, 2005", | PG,83.0,79.0,True,4.0
475,Project Nim,"July 8, 2011", | Not Rated,83.0,75.0,True,8.0
476,The Wind Rises,"November 8, 2013", | PG-13,83.0,83.0,False,0.0
478,The Lighthouse,"October 18, 2019", | Not Rated,83.0,80.0,True,3.0
479,Spider-Man 2,"June 30, 2004", | PG-13,83.0,87.0,False,-4.0
481,Saint Frances,"February 28, 2020", | Not Rated,83.0,73.0,True,10.0
482,20 Feet from Stardom,"June 14, 2013", | PG-13,83.0,74.0,True,9.0
483,When We Were Kings,"October 25, 1996", | PG,83.0,89.0,False,-6.0
484,Kurt Cobain: Montage of Heck,"April 24, 2015", | TV-MA,83.0,78.0,True,5.0
485,20th Century Women,"December 28, 2016", | R,83.0,74.0,True,9.0
487,Paranoid Park,"March 7, 2008", | R,83.0,66.0,True,17.0
489,Pina,"December 23, 2011", | PG,83.0,72.0,True,11.0
490,Animal Kingdom,"August 13, 2010", | R,83.0,78.0,True,5.0
492,Rosie,"July 19, 2019", | PG-13,83.0,63.0,True,20.0
493,A Room with a View,"April 1, 1986", | R,83.0,82.0,True,1.0
494,Hugo ,"November 23, 2011", | PG,83.0,77.0,True,6.0
495,The LEGO Movie,"February 7, 2014", | PG,83.0,83.0,False,0.0
496,Gloria,"January 24, 2014", | R,83.0,71.0,True,12.0
497,Ixcanul,"August 19, 2016", | Not Rated,83.0,83.0,False,0.0
498,The Selfish Giant,"December 20, 2013", | Not Rated,83.0,78.0,True,5.0
499,The Day He Arrives,"April 20, 2012", | Not Rated,83.0,73.0,True,10.0
